Model_masked,Category,Part_Family,count,share
AAA4,Oil Consumption & Carryover,Delivery / Discharge Valve,2,0.013333333333333334
AAA4,Oil Consumption & Carryover,Not Specified,1,0.006666666666666667
AAA4,Oil Consumption & Carryover,ORV (Oil Return Valve),9,0.06
AAA4,Oil Consumption & Carryover,Oil Pump / Element,2,0.013333333333333334
AAA4,Oil Consumption & Carryover,Other Parts,7,0.04666666666666667
AAA4,Oil Consumption & Carryover,Piston / Liner / Ring Set,119,0.7933333333333333
AAA4,Oil Consumption & Carryover,Shaft Seal / O-ring,10,0.06666666666666667
AAA4,Oil Pump,Major Mechanical Parts,1,0.01098901098901099
AAA4,Oil Pump,Not Specified,4,0.04395604395604396
AAA4,Oil Pump,Oil Pump / Element,78,0.8571428571428571
AAA4,Oil Pump,Other Parts,6,0.06593406593406594
AAA4,Oil Pump,Piston / Liner / Ring Set,1,0.01098901098901099
AAA4,Oil Pump,Shaft Seal / O-ring,1,0.01098901098901099
AAA4,Others,Fasteners / Hardware,6,0.18181818181818182
AAA4,Others,Major Mechanical Parts,1,0.030303030303030304
AAA4,Others,Not Specified,7,0.21212121212121213
AAA4,Others,Oil Pump / Element,6,0.18181818181818182
AAA4,Others,Other Parts,9,0.2727272727272727
AAA4,Others,Pressure Gauge,3,0.09090909090909091
AAA4,Others,Pressure Switch / Cut-out,1,0.030303030303030304
AAA4,Shaft Seal,Not Specified,4,0.06779661016949153
AAA4,Shaft Seal,Oil Pump / Element,1,0.01694915254237288
AAA4,Shaft Seal,Other Parts,1,0.01694915254237288
AAA4,Shaft Seal,Piston / Liner / Ring Set,1,0.01694915254237288
AAA4,Shaft Seal,Shaft Seal / O-ring,52,0.8813559322033898
AAA4,Sound & Vibration,Buffer Spring,2,0.020618556701030927
AAA4,Sound & Vibration,Coupling / Disk Pack,1,0.010309278350515464
AAA4,Sound & Vibration,Delivery / Discharge Valve,12,0.12371134020618557
AAA4,Sound & Vibration,Not Specified,5,0.05154639175257732
AAA4,Sound & Vibration,Oil Pump / Element,1,0.010309278350515464
AAA4,Sound & Vibration,Piston / Liner / Ring Set,74,0.7628865979381443
AAA4,Sound & Vibration,Shaft Seal / O-ring,2,0.020618556701030927
AAA4,Valves & Solenoids,Delivery / Discharge Valve,7,0.14583333333333334
AAA4,Valves & Solenoids,Fasteners / Hardware,1,0.020833333333333332
AAA4,Valves & Solenoids,Gaskets,1,0.020833333333333332
AAA4,Valves & Solenoids,K5 Valve,12,0.25
AAA4,Valves & Solenoids,Not Specified,2,0.041666666666666664
AAA4,Valves & Solenoids,Other Parts,8,0.16666666666666666
AAA4,Valves & Solenoids,Piston / Liner / Ring Set,2,0.041666666666666664
AAA4,Valves & Solenoids,Solenoid Valve / Coil,13,0.2708333333333333
AAA4,Valves & Solenoids,Stop Valve,2,0.041666666666666664
AAA42,Cylinder & Overheating,Delivery / Discharge Valve,2,0.25
AAA42,Cylinder & Overheating,Other Parts,1,0.125
AAA42,Cylinder & Overheating,Piston / Liner / Ring Set,5,0.625
AAA42,Electrical & Instruments,Other Parts,1,0.125
AAA42,Electrical & Instruments,Pressure Gauge,6,0.75
AAA42,Electrical & Instruments,Pressure Switch / Cut-out,1,0.125
AAA42,KRMS & Sensors,KRMS / Controller,1,0.2
AAA42,KRMS & Sensors,Other Parts,1,0.2
AAA42,KRMS & Sensors,Temperature Sensor,3,0.6
AAA42,Leaks (General),Other Parts,2,1.0
AAA42,Major Mechanical,Major Mechanical Parts,1,1.0
AAA42,Oil Consumption & Carryover,Other Parts,3,0.1875
AAA42,Oil Consumption & Carryover,Piston / Liner / Ring Set,12,0.75
AAA42,Oil Consumption & Carryover,Shaft Seal / O-ring,1,0.0625
AAA42,Oil Pump,Oil Pump / Element,7,0.875
AAA42,Oil Pump,Piston / Liner / Ring Set,1,0.125
AAA42,Others,Fasteners / Hardware,1,0.06666666666666667
AAA42,Others,Not Specified,7,0.4666666666666667
AAA42,Others,Other Parts,4,0.26666666666666666
AAA42,Others,Piston / Liner / Ring Set,2,0.13333333333333333
AAA42,Others,Pressure Gauge,1,0.06666666666666667
AAA42,Shaft Seal,Not Specified,1,0.07692307692307693
AAA42,Shaft Seal,Shaft Seal / O-ring,12,0.9230769230769231
AAA42,Sound & Vibration,Buffer Spring,2,0.07142857142857142
AAA42,Sound & Vibration,Fasteners / Hardware,1,0.03571428571428571
AAA42,Sound & Vibration,Not Specified,5,0.17857142857142858
AAA42,Sound & Vibration,Other Parts,1,0.03571428571428571
AAA42,Sound & Vibration,Piston / Liner / Ring Set,19,0.6785714285714286
AAA42,Valves & Solenoids,Delivery / Discharge Valve,8,0.5714285714285714
AAA42,Valves & Solenoids,K5 Valve,1,0.07142857142857142
AAA42,Valves & Solenoids,Other Parts,3,0.21428571428571427
